Date,Open,High,Low,Close,Volume,OI
2018-08-01 10:00:00,51.0,52.0,50.75,52.0,21767000,0
2018-08-01 11:00:00,52.0,52.25,51.75,52.0,23382600,0
2018-08-01 12:00:00,52.0,52.0,51.75,52.0,1312900,0
2018-08-01 14:00:00,52.0,52.0,51.5,51.75,12227900,0
2018-08-01 15:00:00,51.75,52.5,51.5,52.5,26650800,0
2018-08-01 16:00:00,52.5,52.75,52.25,52.5,19433000,0
2018-08-02 09:00:00,52.0,52.25,52.0,52.25,2150200,0
2018-08-02 10:00:00,52.25,52.5,52.0,52.0,13961400,0
2018-08-02 11:00:00,52.0,52.25,51.5,51.5,26837200,0
2018-08-02 12:00:00,51.75,52.0,51.5,51.75,4195500,0
2018-08-02 14:00:00,51.5,52.0,51.5,52.0,2822500,0
2018-08-02 15:00:00,52.0,52.0,51.5,51.75,11946000,0
2018-08-02 16:00:00,51.75,52.0,51.75,52.0,15580400,0
2018-08-03 09:00:00,51.75,52.0,51.75,51.75,3090000,0
2018-08-03 10:00:00,51.75,52.25,51.5,52.0,12861800,0
2018-08-03 11:00:00,51.75,52.0,51.75,51.75,5376800,0
2018-08-03 12:00:00,52.0,52.0,51.5,52.0,5618500,0
2018-08-03 14:00:00,52.0,52.0,51.5,51.75,5383000,0
2018-08-03 15:00:00,51.75,52.0,51.5,51.75,4325700,0
2018-08-03 16:00:00,51.75,52.0,51.75,51.75,5038900,0
2018-08-06 09:00:00,52.0,52.0,51.75,52.0,1207800,0
2018-08-06 10:00:00,52.0,52.25,51.75,52.0,11007900,0
2018-08-06 11:00:00,52.0,52.0,51.75,52.0,3198400,0
2018-08-06 12:00:00,52.0,52.0,51.75,52.0,302400,0
2018-08-06 14:00:00,51.75,52.0,51.5,51.75,6940400,0
2018-08-06 15:00:00,51.75,52.0,51.5,51.75,2852000,0
2018-08-06 16:00:00,51.75,51.75,51.25,51.5,14245900,0
2018-08-07 09:00:00,51.75,51.75,51.75,51.75,2330100,0
2018-08-07 10:00:00,52.0,52.0,51.5,51.75,8743400,0
2018-08-07 11:00:00,51.75,52.0,51.25,52.0,6154800,0
2018-08-07 12:00:00,51.75,52.25,51.75,52.25,8225100,0
2018-08-07 14:00:00,52.25,52.25,52.0,52.25,3433100,0
2018-08-07 15:00:00,52.0,52.5,52.0,52.5,21108500,0
2018-08-07 16:00:00,52.5,52.5,52.25,52.25,8999400,0
2018-08-08 09:00:00,52.25,52.5,52.25,52.25,2643600,0
2018-08-08 10:00:00,52.5,52.75,52.25,52.25,16326400,0
2018-08-08 11:00:00,52.5,52.75,52.25,52.5,8481200,0
2018-08-08 12:00:00,52.5,52.75,52.5,52.75,819100,0
2018-08-08 14:00:00,52.75,53.0,52.5,53.0,23822100,0
2018-08-08 15:00:00,52.75,53.0,52.5,52.75,22818000,0
2018-08-08 16:00:00,52.75,53.0,52.75,53.0,8077800,0
2018-08-09 09:00:00,52.5,52.75,52.5,52.75,5025500,0
2018-08-09 10:00:00,52.75,53.0,52.5,52.75,15561500,0
2018-08-09 11:00:00,52.75,53.0,52.75,52.75,1520300,0
2018-08-09 12:00:00,52.75,53.0,52.5,52.75,7519400,0
2018-08-09 14:00:00,52.75,52.75,52.5,52.5,4650700,0
2018-08-09 15:00:00,52.5,53.0,52.5,52.75,5741100,0
2018-08-09 16:00:00,52.75,53.0,52.5,52.5,10578500,0
2018-08-10 10:00:00,52.25,52.75,52.25,52.5,9094000,0
2018-08-10 11:00:00,52.5,52.5,52.0,52.25,7300900,0
2018-08-10 12:00:00,52.25,52.5,52.0,52.25,1681800,0
2018-08-10 14:00:00,52.25,52.5,52.0,52.5,5700000,0
2018-08-10 15:00:00,52.25,52.5,52.0,52.25,5661300,0
2018-08-10 16:00:00,52.25,52.5,51.75,51.75,16701500,0
2018-08-14 09:00:00,51.5,51.5,51.25,51.25,7879600,0
2018-08-14 10:00:00,51.25,51.5,51.0,51.5,16537400,0
2018-08-14 11:00:00,51.25,51.75,51.25,51.75,6648000,0
2018-08-14 12:00:00,51.75,51.75,51.25,51.25,3843700,0
2018-08-14 14:00:00,51.5,51.75,51.5,51.75,3110400,0
2018-08-14 15:00:00,51.5,51.75,51.25,51.5,8077300,0
2018-08-14 16:00:00,51.5,52.0,51.25,51.75,12120400,0
2018-08-15 09:00:00,51.5,51.75,51.0,51.25,6930900,0
2018-08-15 10:00:00,51.25,51.5,51.0,51.5,11433700,0
2018-08-15 11:00:00,51.5,51.5,51.0,51.25,8419100,0
2018-08-15 12:00:00,51.5,51.5,51.0,51.0,1524800,0
2018-08-15 14:00:00,51.0,51.25,51.0,51.25,1254600,0
2018-08-15 15:00:00,51.0,51.25,50.75,51.25,10200200,0
2018-08-15 16:00:00,51.25,51.25,50.75,51.0,12847200,0
2018-08-16 09:00:00,50.5,50.75,50.5,50.75,3216500,0
2018-08-16 10:00:00,50.5,50.75,50.0,50.25,25889500,0
2018-08-16 11:00:00,50.25,50.5,49.5,50.0,23398500,0
2018-08-16 12:00:00,50.0,50.5,49.75,50.25,9654500,0
2018-08-16 14:00:00,50.25,50.75,50.25,50.5,10509500,0
2018-08-16 15:00:00,50.5,50.5,50.0,50.0,7965900,0
2018-08-16 16:00:00,50.25,50.75,50.0,50.5,14939300,0
2018-08-17 09:00:00,51.0,51.5,51.0,51.5,6964100,0
2018-08-17 10:00:00,51.5,51.5,51.0,51.25,12284800,0
2018-08-17 11:00:00,51.0,51.5,51.0,51.5,3937300,0
2018-08-17 12:00:00,51.5,51.75,51.25,51.5,8229600,0
2018-08-17 14:00:00,51.75,51.75,51.5,51.75,3513500,0
2018-08-17 15:00:00,51.75,52.0,51.0,51.5,24563100,0
2018-08-17 16:00:00,51.5,51.5,51.25,51.5,11496100,0
2018-08-20 10:00:00,52.25,52.5,52.0,52.0,5728700,0
2018-08-20 11:00:00,52.0,52.25,52.0,52.0,1451700,0
2018-08-20 12:00:00,52.25,52.25,52.0,52.25,2364100,0
2018-08-20 14:00:00,52.0,52.25,52.0,52.0,1230200,0
2018-08-20 15:00:00,52.0,52.5,52.0,52.5,7076000,0
2018-08-20 16:00:00,52.5,52.5,52.0,52.25,11885300,0
2018-08-21 09:00:00,52.5,52.5,52.25,52.5,2154000,0
2018-08-21 10:00:00,52.25,52.75,52.25,52.5,12022100,0
2018-08-21 11:00:00,52.5,52.75,52.25,52.25,16658300,0
2018-08-21 12:00:00,52.25,52.5,51.75,51.75,14277900,0
2018-08-21 14:00:00,51.75,52.0,51.5,51.75,16790800,0
2018-08-21 15:00:00,51.75,52.0,51.5,51.5,5838600,0
2018-08-21 16:00:00,51.75,51.75,51.5,51.75,11814100,0
2018-08-22 09:00:00,51.75,52.0,51.5,51.75,3503600,0
2018-08-22 10:00:00,52.0,52.0,51.25,52.0,12894500,0
2018-08-22 11:00:00,52.0,52.25,51.75,51.75,11236800,0
2018-08-22 12:00:00,51.75,52.25,51.75,52.0,7515400,0
2018-08-22 14:00:00,52.0,52.25,51.75,52.25,9463400,0
2018-08-22 15:00:00,52.25,52.5,52.0,52.0,15978200,0
2018-08-22 16:00:00,52.25,52.25,51.75,51.75,8477000,0
2018-08-23 09:00:00,52.25,52.5,52.25,52.25,4466600,0
2018-08-23 10:00:00,52.5,52.5,52.25,52.25,4522000,0
2018-08-23 11:00:00,52.25,52.5,52.0,52.25,13576100,0
2018-08-23 12:00:00,52.25,52.5,52.0,52.0,2087800,0
2018-08-23 14:00:00,52.0,52.25,51.75,52.25,10994600,0
2018-08-23 15:00:00,52.25,52.25,52.0,52.0,3065100,0
2018-08-23 16:00:00,52.25,52.25,51.75,52.0,12335500,0
2018-08-24 09:00:00,51.75,52.0,51.75,52.0,2682200,0
2018-08-24 10:00:00,51.75,52.0,51.5,51.5,11506400,0
2018-08-24 11:00:00,51.75,51.75,51.5,51.5,2110800,0
2018-08-24 12:00:00,51.5,52.25,51.5,52.0,11865300,0
2018-08-24 14:00:00,51.75,52.0,51.5,51.5,6125200,0
2018-08-24 15:00:00,51.5,52.0,51.5,51.5,10855400,0
2018-08-24 16:00:00,51.5,51.75,51.5,51.75,10755400,0
2018-08-27 09:00:00,52.0,52.0,51.75,52.0,6098500,0
2018-08-27 10:00:00,52.0,52.25,51.75,51.75,12795700,0
2018-08-27 11:00:00,52.0,52.25,51.75,52.25,4731600,0
2018-08-27 12:00:00,52.25,52.25,51.75,52.0,5459500,0
2018-08-27 14:00:00,52.0,52.25,52.0,52.0,2041900,0
2018-08-27 15:00:00,52.0,52.25,51.75,51.75,10241700,0
2018-08-27 16:00:00,52.0,52.25,51.75,52.0,9788300,0
2018-08-28 09:00:00,52.25,52.5,52.25,52.25,231700,0
2018-08-28 10:00:00,52.25,53.0,52.25,52.75,40523200,0
2018-08-28 11:00:00,52.75,53.0,52.75,52.75,7857900,0
2018-08-28 12:00:00,53.0,53.0,52.5,52.5,7496200,0
2018-08-28 14:00:00,52.5,52.75,52.5,52.75,4397100,0
2018-08-28 15:00:00,52.5,52.75,52.25,52.5,17886900,0
2018-08-28 16:00:00,52.5,52.75,52.25,52.5,12099300,0
2018-08-29 09:00:00,52.5,52.5,52.25,52.5,1695500,0
2018-08-29 10:00:00,52.5,52.5,52.0,52.25,13063900,0
2018-08-29 11:00:00,52.0,52.25,52.0,52.25,9062100,0
2018-08-29 12:00:00,52.25,52.5,52.0,52.25,7134700,0
2018-08-29 14:00:00,52.25,52.25,52.0,52.25,6084500,0
2018-08-29 15:00:00,52.25,52.5,52.0,52.25,9990000,0
2018-08-29 16:00:00,52.25,52.5,52.0,52.5,10275400,0
2018-08-30 10:00:00,52.75,52.75,52.25,52.5,10096400,0
2018-08-30 11:00:00,52.5,52.5,52.25,52.5,2073200,0
2018-08-30 12:00:00,52.5,52.5,52.25,52.5,2782800,0
2018-08-30 14:00:00,52.25,52.5,52.0,52.0,15576600,0
2018-08-30 15:00:00,52.25,52.5,52.25,52.5,5516500,0
2018-08-30 16:00:00,52.25,52.5,52.0,52.0,11394900,0
