Date,Open,High,Low,Close,Volume,OI
2000-01-04 00:00:00,45.5,46.0,45.25,45.75,3746283,0
2000-01-05 00:00:00,43.5,44.25,43.0,43.5,2736320,0
2000-01-06 00:00:00,43.75,43.75,42.25,42.5,1159114,0
2000-01-07 00:00:00,43.0,44.0,42.5,43.75,975066,0
2000-01-10 00:00:00,44.5,45.25,43.75,43.75,1730597,0
2000-01-11 00:00:00,44.25,44.5,43.0,43.0,1053900,0
2000-01-12 00:00:00,42.75,43.75,42.75,43.75,543000,0
2000-01-13 00:00:00,43.5,44.0,43.25,43.5,468400,0
2000-01-14 00:00:00,44.0,44.5,43.75,44.5,889300,0
2000-01-17 00:00:00,45.25,45.75,45.0,45.0,2445882,0
2000-01-18 00:00:00,45.0,46.25,45.0,46.25,1824833,0
2000-01-19 00:00:00,45.5,46.5,45.5,46.5,2015029,0
2000-01-20 00:00:00,46.5,47.0,46.25,46.5,1824635,0
2000-01-21 00:00:00,46.0,46.0,45.0,45.25,1509700,0
2000-01-24 00:00:00,45.25,45.5,44.25,44.75,530000,0
2000-01-25 00:00:00,44.25,44.25,43.25,44.25,799600,0
2000-01-26 00:00:00,44.5,44.5,43.5,43.5,1207133,0
2000-01-27 00:00:00,43.75,44.25,43.5,44.25,325166,0
2000-01-28 00:00:00,44.25,44.5,44.25,44.5,314100,0
2000-01-31 00:00:00,43.75,44.25,43.5,43.75,553632,0
2000-02-01 00:00:00,44.25,44.75,43.5,43.5,582666,0
2000-02-02 00:00:00,44.0,44.0,42.75,43.0,687550,0
2000-02-03 00:00:00,43.0,43.25,41.75,42.5,1147500,0
2000-02-04 00:00:00,42.5,43.0,42.0,43.0,664899,0
2000-02-07 00:00:00,42.75,42.75,42.0,42.0,444232,0
2000-02-08 00:00:00,42.5,42.5,41.0,41.0,1060950,0
2000-02-09 00:00:00,41.25,41.25,39.75,39.75,1737933,0
2000-02-10 00:00:00,39.5,40.0,39.25,39.75,1014312,0
2000-02-11 00:00:00,40.0,40.25,38.0,39.0,1742670,0
2000-02-14 00:00:00,38.5,38.5,37.0,37.25,994900,0
2000-02-15 00:00:00,37.25,38.5,36.75,37.75,1615900,0
2000-02-16 00:00:00,38.0,38.25,37.0,37.0,1828976,0
2000-02-17 00:00:00,37.0,37.25,35.0,35.75,1942750,0
2000-02-18 00:00:00,35.75,36.0,34.0,35.0,3086334,0
2000-02-22 00:00:00,34.0,34.0,31.5,31.5,3989458,0
2000-02-23 00:00:00,31.5,33.5,31.0,33.25,1853100,0
