Date,Open,High,Low,Close,Volume,OI
2018-08-01 10:20:00,141.5,141.5,141.5,141.5,58900,0
2018-08-01 10:25:00,141.5,141.5,141.0,141.0,139600,0
2018-08-01 10:30:00,141.5,141.5,141.0,141.0,63900,0
2018-08-01 10:35:00,141.5,141.5,141.0,141.5,93800,0
2018-08-01 10:40:00,141.5,141.5,141.0,141.5,64900,0
2018-08-01 10:45:00,141.5,141.5,141.5,141.5,78100,0
2018-08-01 10:50:00,141.5,142.0,141.5,142.0,609100,0
2018-08-01 10:55:00,142.0,142.0,141.5,142.0,30500,0
2018-08-01 11:00:00,141.5,142.0,141.5,142.0,147300,0
2018-08-01 11:05:00,142.0,142.0,141.5,141.5,36600,0
2018-08-01 11:10:00,142.0,142.0,141.5,142.0,446000,0
2018-08-01 11:15:00,142.0,142.0,141.0,141.0,1076700,0
2018-08-01 11:20:00,141.5,141.5,141.0,141.5,74800,0
2018-08-01 11:25:00,141.0,141.5,141.0,141.5,29500,0
2018-08-01 11:30:00,141.5,141.5,141.0,141.5,32100,0
2018-08-01 11:35:00,141.5,141.5,141.0,141.5,19900,0
2018-08-01 11:40:00,141.5,141.5,141.0,141.5,26100,0
2018-08-01 11:45:00,141.5,141.5,141.5,141.5,20400,0
2018-08-01 11:50:00,141.5,141.5,141.5,141.5,28700,0
2018-08-01 11:55:00,141.0,141.5,141.0,141.5,43000,0
2018-08-01 12:00:00,141.5,141.5,141.5,141.5,18500,0
2018-08-01 12:05:00,141.5,141.5,140.5,141.0,667800,0
2018-08-01 12:10:00,141.0,141.0,141.0,141.0,109900,0
2018-08-01 12:15:00,141.0,141.0,141.0,141.0,139700,0
2018-08-01 12:20:00,141.0,141.0,141.0,141.0,21500,0
2018-08-01 12:25:00,141.0,141.0,141.0,141.0,44600,0
2018-08-01 14:25:00,141.0,141.0,141.0,141.0,98800,0
2018-08-01 14:30:00,141.0,141.0,140.5,140.5,26700,0
2018-08-01 14:35:00,141.0,141.0,140.5,140.5,308900,0
2018-08-01 14:40:00,141.0,141.0,141.0,141.0,142900,0
2018-08-01 14:45:00,141.0,141.0,140.5,140.5,174000,0
2018-08-01 14:50:00,141.0,141.0,141.0,141.0,87400,0
2018-08-01 14:55:00,141.0,141.0,141.0,141.0,44700,0
2018-08-01 15:00:00,141.0,141.0,140.5,140.5,43300,0
2018-08-01 15:05:00,141.0,141.0,141.0,141.0,75500,0
2018-08-01 15:10:00,141.0,141.0,141.0,141.0,36100,0
2018-08-01 15:15:00,140.5,141.0,140.5,141.0,97700,0
2018-08-01 15:20:00,141.0,141.0,141.0,141.0,93200,0
2018-08-01 15:25:00,141.0,141.0,141.0,141.0,457300,0
2018-08-01 15:30:00,141.0,141.5,141.0,141.0,438700,0
2018-08-01 15:35:00,141.0,141.0,141.0,141.0,397500,0
2018-08-01 15:40:00,141.0,141.0,141.0,141.0,345800,0
2018-08-01 15:45:00,141.0,141.5,141.0,141.0,14400,0
2018-08-01 15:50:00,141.5,141.5,141.0,141.0,146000,0
2018-08-01 15:55:00,141.5,141.5,141.0,141.5,47600,0
2018-08-01 16:00:00,141.0,141.5,141.0,141.5,56200,0
2018-08-01 16:05:00,141.0,141.5,141.0,141.5,35400,0
2018-08-01 16:10:00,141.0,141.5,141.0,141.0,91200,0
2018-08-01 16:15:00,141.0,141.5,141.0,141.5,167600,0
2018-08-01 16:20:00,141.0,141.5,140.5,140.5,774300,0
2018-08-01 16:25:00,140.5,141.0,140.5,140.5,134100,0
2018-08-01 16:35:00,141.0,141.0,141.0,141.0,855100,0
2018-08-02 09:55:00,141.0,141.0,141.0,141.0,269800,0
2018-08-02 10:00:00,140.5,141.0,140.5,140.5,278900,0
2018-08-02 10:05:00,140.5,141.0,140.5,141.0,51400,0
2018-08-02 10:10:00,141.0,141.0,141.0,141.0,658500,0
2018-08-02 10:15:00,141.0,141.0,140.5,141.0,691200,0
2018-08-02 10:20:00,141.0,141.0,141.0,141.0,370900,0
2018-08-02 10:25:00,141.0,141.0,141.0,141.0,40500,0
2018-08-02 10:30:00,141.0,141.0,141.0,141.0,57500,0
2018-08-02 10:35:00,141.0,141.5,141.0,141.5,43700,0
2018-08-02 10:40:00,141.0,141.0,141.0,141.0,21300,0
2018-08-02 10:45:00,141.0,141.0,141.0,141.0,52000,0
2018-08-02 10:50:00,141.0,141.0,141.0,141.0,172000,0
2018-08-02 10:55:00,141.0,141.0,141.0,141.0,124600,0
2018-08-02 11:00:00,141.0,141.0,141.0,141.0,53600,0
2018-08-02 11:05:00,141.0,141.0,141.0,141.0,105400,0
2018-08-02 11:10:00,141.0,141.0,141.0,141.0,1338300,0
2018-08-02 11:15:00,141.0,141.0,140.5,141.0,567900,0
2018-08-02 11:20:00,141.0,141.0,141.0,141.0,53000,0
2018-08-02 11:25:00,141.0,141.0,141.0,141.0,34000,0
2018-08-02 11:30:00,141.0,141.0,141.0,141.0,63200,0
2018-08-02 11:35:00,141.0,141.0,141.0,141.0,17500,0
2018-08-02 11:40:00,141.0,141.0,141.0,141.0,32500,0
2018-08-02 11:45:00,141.0,141.5,141.0,141.0,32600,0
2018-08-02 11:50:00,141.0,141.0,141.0,141.0,23700,0
2018-08-02 11:55:00,141.0,141.0,141.0,141.0,148800,0
2018-08-02 12:00:00,141.0,141.0,140.5,140.5,646000,0
2018-08-02 12:05:00,140.5,141.0,140.5,141.0,166300,0
2018-08-02 12:10:00,141.0,141.0,141.0,141.0,17600,0
2018-08-02 12:15:00,141.0,141.0,141.0,141.0,44100,0
2018-08-02 12:20:00,141.0,141.0,141.0,141.0,365100,0
2018-08-02 12:25:00,141.0,141.0,141.0,141.0,314000,0
2018-08-02 14:25:00,141.0,141.0,141.0,141.0,117500,0
2018-08-02 14:30:00,140.5,141.0,140.5,140.5,9800,0
2018-08-02 14:35:00,140.5,140.5,140.5,140.5,78500,0
2018-08-02 14:40:00,141.0,141.0,140.5,141.0,689700,0
2018-08-02 14:45:00,141.0,141.0,141.0,141.0,546100,0
2018-08-02 14:50:00,141.0,141.0,141.0,141.0,243200,0
2018-08-02 14:55:00,141.0,141.0,140.5,140.5,92000,0
2018-08-02 15:00:00,140.5,140.5,140.5,140.5,4900,0
2018-08-02 15:05:00,140.5,140.5,140.5,140.5,135600,0
2018-08-02 15:10:00,140.5,140.5,140.0,140.0,257500,0
2018-08-02 15:15:00,140.5,140.5,140.0,140.5,136600,0
2018-08-02 15:20:00,140.5,140.5,140.5,140.5,17100,0
2018-08-02 15:25:00,139.5,140.0,139.5,139.5,206200,0
2018-08-02 15:30:00,140.0,140.0,139.5,139.5,339000,0
2018-08-02 15:35:00,140.0,140.0,139.5,140.0,291600,0
2018-08-02 15:40:00,140.0,140.0,139.5,140.0,322400,0
2018-08-02 15:45:00,140.5,140.5,140.5,140.5,138300,0
2018-08-02 15:55:00,140.5,140.5,140.0,140.5,142200,0
2018-08-02 16:00:00,140.5,140.5,140.5,140.5,48600,0
2018-08-03 09:55:00,140.0,140.5,140.0,140.5,195600,0
2018-08-03 10:00:00,140.0,140.0,138.5,138.5,1185200,0
2018-08-03 10:05:00,139.0,139.0,139.0,139.0,121000,0
2018-08-03 10:10:00,139.0,139.0,137.5,137.5,1321500,0
